district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Amador County Unified,Amador High,330 Spanish Street Sutter Creek CA 95685-9701,6.9,ppb,True,tested,Sutter Creek,Amador County,38.398796999999995,-120.80983700000002,6.9
Amador County Unified,Argonaut High,501 Argonaut Lane Jackson CA 95642-2020,,,False,tested,Jackson,Amador County,38.363358000000005,-120.790022,
Amador County Unified,Independence High (Continuation),525 Independence Drive Sutter Creek CA 95685-9669,,,False,tested,Sutter Creek,Amador County,38.377171999999995,-120.808048,
Amador County Unified,Ione Elementary,415 South Ione Street Ione CA 95640-2020,,,False,tested,Ione,Amador County,38.35116,-120.931998,
Amador County Unified,Ione Junior High,450 Mill Street Ione CA 95640,,,False,tested,Ione,Amador County,38.347878,-120.935667,
Amador County Unified,Jackson Elementary,220 Church Street Jackson CA 95642-2020,,,False,tested,Jackson,Amador County,38.350674,-120.77316100000002,
Amador County Unified,Jackson Junior High,747 Sutter Street Jackson CA 95642-2020,,,False,tested,Jackson,Amador County,38.353365000000004,-120.780072,
Calaveras County Office of Education,Mountain Oaks Satellite Campus,217 West Jackson St Ione CA 95640,,,False,tested,Ione,Amador County,38.351613,-120.935543,
Amador County Unified,Pine Grove Elementary STEM Magnet,20101 State Highway 88 Pinegrove CA 95665,,,False,tested,Pine Grove,Amador County,38.413000000000004,-120.653517,
Amador County Unified,Pioneer Magnet School for the Visual and Performing Arts,24625 Highway 88 Pioneer CA 95666,5.9,ppb,True,tested,Pioneer,Amador County,38.432711,-120.57118500000001,5.9
Amador County Unified,Plymouth Elementary,10601 Sherwood Plymouth CA 95669,,,False,tested,Plymouth,Amador County,38.479452,-120.851381,
Amador County Office of Education,Shenandoah Valley,10010 Shenandoah Road Plymouth CA 95669,,,False,tested,Plymouth,Amador County,38.482338,-120.840121,
Amador County Unified,Sutter Creek Elementary,340 Spanish Street Sutter Creek CA 95685-9701,6.4,ppb,True,tested,Sutter Creek,Amador County,38.398814,-120.809929,6.4
Amador County Unified,Sutter Creek Primary,110 Broad Street Sutter Creek CA 95685,,,False,tested,Sutter Creek,Amador County,38.394793,-120.801528,
