district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Hollister,Calaveras Elementary,1151 Buena Vista Road Suite 100 Hollister CA 95023-3329,,,False,tested,Hollister,San Benito County,36.856512,-121.41731399999999,
Hollister,Calaveras Elementary/Accelerated Achievement Academy,1151 Buena Vista Road Suite 100 Hollister CA 95023-3329,,,,not tested,Hollister,San Benito County,36.856512,-121.41731399999999,
Hollister,Cerra Vista Elementary,2151 Cerra Vista Drive Hollister CA 95023-6200,,,False,tested,,San Benito County,36.829242,-121.37339899999999,
Hollister,Gabilan Hills,901 Santa Ana Road Hollister CA 95023-7117,,,False,tested,,San Benito County,36.855810999999996,-121.382697,
Hollister,Hollister Dual Language Academy,"873 Santa Ana Road, Suite 200 Hollister CA 95023-7115",,,,not tested,Hollister,San Benito County,36.853868,-121.38596499999998,
Hollister,Hollister Prep,881 Line Street Hollister CA 95023-4514,,,False,tested,,San Benito County,36.846474,-121.411676,
Hollister,Ladd Lane Elementary,161 Ladd Lane Hollister CA 95023-6100,,,False,tested,,San Benito County,36.82943,-121.39319499999999,
Hollister,Maze Middle,900 Meridian Street Hollister CA 95023-4107,5.5,ppb,True,tested,,San Benito County,36.852828,-121.38496200000002,5.5
Hollister,R. O. Hardin Elementary,881 Line Street Hollister CA 95023-4514,,,,not tested,,San Benito County,36.846474,-121.411676,
Hollister,Rancho San Justo,1201 Rancho Drive Hollister CA 95023-4914,,,False,tested,,San Benito County,36.841338,-121.3968,
Hollister,Sunnyslope Elementary,1475 Memorial Drive Hollister CA 95023-5007,8.9,ppb,True,tested,,San Benito County,36.839766999999995,-121.38311000000002,8.9
