district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Simi Valley Unified,Apollo High,3150 School Street Simi Valley CA 93065-3998,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.270514,-118.735809
Simi Valley Unified,Arroyo Elementary,225 Ulysses Street Simi Valley CA 93065-1739,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.273004,-118.793446
Simi Valley Unified,Atherwood Elementary,2350 East Greensward Street Simi Valley CA 93065-1430,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.284711,-118.751866
Simi Valley Unified,Berylwood Elementary,2300 Heywood Street Simi Valley CA 93065-3622,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.268332,-118.75148
Simi Valley Unified,Big Springs Elementary,3401 Big Springs Avenue Simi Valley CA 93063-1399,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.297219,-118.701016
Simi Valley Unified,Crestview Elementary,900 Crosby Avenue Simi Valley CA 93065-5015,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.255002,-118.750419
Simi Valley Unified,Garden Grove Elementary,2250 North Tracy Avenue Simi Valley CA 93063-2753,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.276944,-118.72308
Simi Valley Unified,Hillside Middle,2222 East Fitzgerald Road Simi Valley CA 93065-4936,7.7,ppb,TRUE,tested,Simi Valley,Ventura County,34.256332,-118.754618
Simi Valley Unified,Hollow Hills Elementary,828 Gibson Avenue Simi Valley CA 93065-5665,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.256197,-118.765207
Simi Valley Unified,Justin Early Learners Academy,2245 North Justin Avenue Simi Valley CA 93065-2543,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.276049,-118.754853
Simi Valley Unified,Katherine Elementary,5455 Katherine Street Simi Valley CA 93063-4556,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.266771,-118.687113
Simi Valley Unified,Knolls Elementary,6334 Katherine Road Simi Valley CA 93063-4439,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.265164,-118.66625
Simi Valley Unified,Madera Elementary,250 Royal Ave. Simi Valley CA 93065,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.264335,-118.794123
Simi Valley Unified,Monte Vista,1220 Fourth Street Simi Valley CA 93065-4359,11,ppb,TRUE,tested,Simi Valley,Ventura County,34.26131,-118.781033
Simi Valley Unified,Mountain View Elementary,2925 Fletcher Avenue Simi Valley CA 93065-5270,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.257898,-118.738501
Simi Valley Unified,Park View Elementary,1500 Alexander Street Simi Valley CA 93065-2059,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.275907,-118.769607
Simi Valley Unified,Royal High,1402 Royal Avenue Simi Valley CA 93065-3333,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.264384,-118.772757
Simi Valley Unified,Santa Susana Elementary,4300 Apricot Road Simi Valley CA 93063-2317,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.280672,-118.711058
Simi Valley Unified,Santa Susana High,3570 East Cochran Street Simi Valley CA 93063-2525,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.277945,-118.728244
Simi Valley Unified,Simi Elementary,2956 School Street Simi Valley CA 93065,NA,NA,NA,not tested,Simi Valley,Ventura County,34.270512,-118.738403
Simi Valley Unified,Simi Institute of Careers and Education,1880 Blackstock Avenue Simi Valley CA 93065-3967,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.269326,-118.733707
Simi Valley Unified,Simi Valley High,5400 Cochran Street Simi Valley CA 93063-3547,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.278918,-118.687154
Simi Valley Unified,Sinaloa Middle,601 Royal Avenue Simi Valley CA 93065-4346,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.264514,-118.784976
Simi Valley Unified,Sycamore Elementary,2100 Ravenna Street Simi Valley CA 93065-2736,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.274717,-118.739562
Simi Valley Unified,Township Elementary,4101 Township Avenue Simi Valley CA 93063-1157,5.7,ppb,TRUE,tested,Simi Valley,Ventura County,34.293414,-118.71472
Simi Valley Unified,Valley View Middle,3347 Tapo Street Simi Valley CA 93063-1238,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.29617,-118.709031
Simi Valley Unified,Vista Elementary,2175 Wisteria Street Simi Valley CA 93065-2656,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.274955,-118.747471
Simi Valley Unified,White Oak Elementary,2201 Alscott Avenue Simi Valley CA 93063-3809,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.274742,-118.667153
Simi Valley Unified,Wood Ranch Elementary,455 Circle Knoll Drive Simi Valley CA 93065-0609,NA,NA,FALSE,tested,Simi Valley,Ventura County,34.233084,-118.813612
