district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Pomona Unified,Alcott Elementary,1600 South Towne Avenue Pomona CA 91766-5367,,,,not tested,Pomona,Los Angeles County,34.042873,-117.740766,
Pomona Unified,Allison Elementary,1011 Russell Place Pomona CA 91767-3409,,,,not tested,Pomona,Los Angeles County,34.077539,-117.73206599999999,
Pomona Unified,Armstrong Elementary,22750 Beaverhead Drive Diamond Bar CA 91765-1566,,,,not tested,Diamond Bar,Los Angeles County,34.021402,-117.818467,
Pomona Unified,Arroyo Elementary,1605 West Arroyo Avenue Pomona CA 91768-2156,,,,not tested,Pomona,Los Angeles County,34.067040000000006,-117.77574299999999,
Pomona Unified,Barfield Elementary,2181 North San Antonio Avenue Pomona CA 91767-2403,,,,not tested,Pomona,Los Angeles County,34.083145,-117.736851,
Pomona Unified,Cortez Elementary,1300 North Dudley Pomona CA 91768-2200,,,,not tested,Pomona,Los Angeles County,34.070468,-117.778498,
Pomona Unified,Decker Elementary,20 Village Loop Road Pomona CA 91766-4893,,,,not tested,Pomona,Los Angeles County,34.035973999999996,-117.770843,
Pomona Unified,Diamond Point Elementary,24150 Sunset Crossing Road Diamond Bar CA 91765-1454,,,,not tested,Diamond Bar,Los Angeles County,34.033054,-117.797028,
Pomona Unified,Diamond Ranch High,100 Diamond Ranch Drive Pomona CA 91766-4723,,,,not tested,Pomona,Los Angeles County,34.021840999999995,-117.778475,
Pomona Unified,Emerson Middle,635 Lincoln Avenue Pomona CA 91767-4041,,,,not tested,Pomona,Los Angeles County,34.071039,-117.72596499999999,
Pomona Unified,Fremont Academy of Engineering and Design,725 West Franklin Avenue Pomona CA 91766-5168,,,,not tested,Pomona,Los Angeles County,34.040704,-117.757423,
Pomona Unified,Ganesha High,1151 Fairplex Drive Pomona CA 91768-1299,,,,not tested,Pomona,Los Angeles County,34.067676,-117.787678,
Pomona Unified,Garey High,321 West Lexington Avenue Pomona CA 91766-5254,,,,not tested,Pomona,Los Angeles County,34.036938,-117.752875,
Pomona Unified,Golden Springs Elementary,245 South Ballena Drive Diamond Bar CA 91765-1758,,,,not tested,Diamond Bar,Los Angeles County,34.024664,-117.801441,
Pomona Unified,Harrison Elementary,425 East Harrison Avenue Pomona CA 91767-1913,,,,not tested,Pomona,Los Angeles County,34.099138,-117.74340900000001,
Pomona Unified,Kellogg Polytechnic Elementary,610 Medina Avenue Pomona CA 91768-2517,,,,not tested,Pomona,Los Angeles County,34.05681,-117.808085,
Pomona Unified,Kingsley Elementary,1170 Washington Street Pomona CA 91767-4164,,,,not tested,Pomona,Los Angeles County,34.070547,-117.730523,
Pomona Unified,La Verne Science and Technology Charter,250 West La Verne Avenue Pomona CA 91767-2375,,,,not tested,Pomona,Los Angeles County,34.086913,-117.75357,
Pomona Unified,Lexington Elementary,550 West Lexington Avenue Pomona CA 91766-5164,,,,not tested,Pomona,Los Angeles County,34.036767,-117.75644399999999,
Pomona Unified,Lopez Elementary,701 South White Avenue Pomona CA 91766-2932,,,,not tested,Pomona,Los Angeles County,34.052948,-117.7588,
Pomona Unified,Lorbeer Middle,501 Diamond Bar Boulevard Diamond Bar CA 91765-2002,,,,not tested,Diamond Bar,Los Angeles County,33.98688,-117.82433200000001,
Pomona Unified,Marshall Middle,1921 Arroyo Avenue Pomona CA 91768-2018,,,,not tested,Pomona,Los Angeles County,34.067040000000006,-117.77574299999999,
Pomona Unified,Montvue Elementary,1440 San Bernardino Avenue Pomona CA 91767-3546,,,,not tested,Pomona,Los Angeles County,34.075956,-117.722453,
Pomona Unified,Palomares Academy of Health Science,2211 North Orange Grove Avenue Pomona CA 91767-2319,,,,not tested,Pomona,Los Angeles County,34.087293,-117.74490700000001,
Pomona Unified,Pantera Elementary,801 Pantera Drive Diamond Bar CA 91765-4637,,,,not tested,Diamond Bar,Los Angeles County,34.010807,-117.79096399999999,
Pomona Unified,Park West High (Continuation),1460 West Holt Avenue Suite 100 Pomona CA 91767-2832,,,,not tested,Pomona,Los Angeles County,34.060988,-117.773738,
Pomona Unified,Philadelphia Elementary,600 East Philadelphia Street Pomona CA 91766-5799,,,,not tested,Pomona,Los Angeles County,34.033367999999996,-117.74347,
Pomona Unified,Pomona Alternative,1460 East Holt Ave. Suite 100 Pomona CA 91767-5851,,,,not tested,Pomona,Los Angeles County,34.061799,-117.719656,
Pomona Unified,Pomona Community Day,605 North Park Avenue Pomona CA 91766-3622,,,,not tested,Pomona,Los Angeles County,34.063461,-117.75480400000001,
Pomona Unified,Pomona High,475 Bangor Street Pomona CA 91767-2443,,,,not tested,Pomona,Los Angeles County,34.084709000000004,-117.742723,
Pomona Unified,Ranch Hills Elementary,2 Trabuco Place Pomona CA 91766-3325,,,,not tested,Pomona,Los Angeles County,34.035396999999996,-117.784947,
Pomona Unified,San Antonio Elementary,855 East Kingsley Avenue Pomona CA 91767-4919,,,,not tested,Pomona,Los Angeles County,34.066561,-117.734978,
Pomona Unified,San Jose Elementary,2015 Cadillac Drive Pomona CA 91767-2751,,,,not tested,Pomona,Los Angeles County,34.081084999999995,-117.75003799999999,
Pomona Unified,School of Extended Educational Options,1460 East Holt Avenue Suite 100 Pomona CA 91767-5862,,,,not tested,Pomona,Los Angeles County,34.061799,-117.719656,
Pomona Unified,Simons Middle,900 East Franklin Avenue Pomona CA 91766-5362,,,,not tested,Pomona,Los Angeles County,34.040754,-117.73868600000002,
Pomona Unified,Vejar Elementary,950 West Grand Avenue Pomona CA 91766-3325,,,,not tested,Pomona,Los Angeles County,34.047517,-117.759611,
Pomona Unified,Village Academy High School at Indian Hill,1444 East Holt Avenue Pomona CA 91767-5865,,,,not tested,Pomona,Los Angeles County,34.062985999999995,-117.72231599999999,
Pomona Unified,Westmont Elementary,1780 West Ninth Street Pomona CA 91766-1058,,,,not tested,Pomona,Los Angeles County,34.048957,-117.78136,
