district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Menifee Union Elementary,Bell Mountain Middle,28525 La Piedra Drive Menifee CA 92584-8498,NA,NA,NA,not tested,Menifee,Riverside County,33.675357,-117.162228
Romoland Elementary,Boulder Ridge Elementary,27327 Juniper Road Menifee CA 92585-9812,NA,NA,FALSE,tested,Menifee,Riverside County,33.723683,-117.159567
Menifee Union Elementary,Callie Kirkpatrick Elementary,28800 Reviere Drive Menifee CA 92584-8972,NA,NA,NA,not tested,Menifee,Riverside County,33.681817,-117.155472
Menifee Union Elementary,Callie Kirkpatrick Elementary,"28800 Reviere Drive, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.681817,-117.155472
Menifee Union Elementary,Chester W. Morrison Elementary,"30250 Bradley Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.683857,-117.188504
Menifee Union Elementary,Chester W. Morrison Elementary,30250 Bradley Road Menifee CA 92584-9257,NA,NA,NA,not tested,Menifee,Riverside County,33.683857,-117.188504
Romoland Elementary,Ethan A Chase Middle,28100 Calm Horizon Drive Menifee CA 92585-9289,NA,NA,FALSE,tested,Menifee,Riverside County,33.713444,-117.142903
Menifee Union Elementary,Evans Ranch Elementary,"30465 Evans Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.678256,-117.199272
Menifee Union Elementary,Evans Ranch Elementary,30465 Evans Road Menifee CA 92584-7342,NA,NA,NA,not tested,Menifee,Riverside County,33.678256,-117.199272
Menifee Union Elementary,Freedom Crest Elementary,29282 Menifee Road Menifee CA 92584-7766,NA,NA,NA,not tested,Menifee,Riverside County,33.698534,-117.154528
Menifee Union Elementary,Freedom Crest Elementary,"29282 Menifee Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.698534,-117.154528
Menifee Union Elementary,Hans Christensen Middle,27625 Sherman Road Menifee CA 92586-9291,NA,NA,NA,not tested,Menifee,Riverside County,33.655994,-117.180039
Menifee Union Elementary,Hans Christensen Middle,27625 Sherman Road Menifee 92586,NA,NA,NA,exempt,Menifee,Riverside County,33.655994,-117.180039
Perris Union High,Heritage High,26000 Briggs Road Romoland CA 92585-3230,NA,NA,FALSE,tested,Menifee,Riverside County,33.750379,-117.136537
Menifee Union Elementary,Menifee Preschool,26350 La Piedra Road Menifee CA 92584-7368,NA,NA,FALSE,tested,Menifee,Riverside County,33.677279,-117.199982
Menifee Union Elementary,Menifee Valley Middle,26255 Garbani Road Menifee CA 92584-9197,NA,NA,NA,not tested,Menifee,Riverside County,33.655919,-117.202529
Menifee Union Elementary,Menifee Valley Middle,"26255 Garbani Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.655919,-117.202529
Romoland Elementary,Mesa View Elementary,27227 Heritage Lake Drive Romoland CA 92585-2628,NA,NA,FALSE,tested,Menifee,Riverside County,33.712046,-117.140105
Perris Union High,Paloma Valley High,31375 Bradley Road Menifee CA 92584-9368,NA,NA,FALSE,tested,Menifee,Riverside County,33.665056,-117.192036
Menifee Union Elementary,Quail Valley Elementary,23757 Canyon Heights Drive Quail Valley CA 92587-7267,NA,NA,NA,not tested,Menifee,Riverside County,33.698123,-117.243246
Menifee Union Elementary,Quail Valley Elementary,"23757 Canyon Heights Drive, Menifee 92587",NA,NA,NA,exempt,Menifee,Riverside County,33.698123,-117.243246
Menifee Union Elementary,Ridgemoor Elementary,25455 Ridgemoor Road Sun City CA 92586-2790,NA,NA,NA,not tested,Menifee,Riverside County,33.699053,-117.215318
Menifee Union Elementary,Ridgemoor Elementary,"25455 Ridgemoor Road, Menifee CA 92586",NA,NA,NA,exempt,Menifee,Riverside County,33.699053,-117.215318
Menifee Union Elementary,Santa Rosa Academy,27587 La Piedra Road Menifee CA 92584-8376,NA,NA,NA,not tested,Menifee,Riverside County,33.677625,-117.176665
Menifee Union Elementary,Southshore Elementary,"30975 Southshore Drive, Menifee  CA 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.672528,-117.145383
Menifee Union Elementary,Southshore Elementary,30975 Southshore Drive Menifee CA 92584-7377,NA,NA,NA,not tested,Menifee,Riverside County,33.672528,-117.145383
